code;label;department;ca_ht;ca_ttc;quantity;avg_weekly_quantity;nb_lines;cumulative_pct;is_priority_80
100170381;EAU SOURC 0,5L CRISTALINE;EAUX DE SOURCE PLATES IMP;1865498.0;2203350.0;14689.0;400.089;860;49.19;True
100454964;RIZ THAIL LG 5KG DINOR ( ROUGE );RIZ LONG 0% BRISURE;1830250.0;1830250.0;415.0;11.304;93;49.29;True
100177194;CHOC LT AMANDE CARAMEL 200/180G C D;CHOCOLAT LAIT+INGREDIENTS;1814424.0;2140875.0;519.0;14.136;11;49.38;True
100167428;BOUCHERIE LS PESEE;GENERIQUE BOUCHERIE LS 2;1809821.0;2135583.0;1021032.0;27810.21;746;49.48;True
100334421;HUIL VEGET 3L AYA;HUILES PALM VEGETALE;1797258.0;2121000.0;597.0;16.261;477;49.58;True
037080008;WHISKY JB 75CL;WHISKY BLENDED ECOSSAIS;1769406.0;2088000.0;174.0;4.739;133;49.67;True
100310739;VDP CHARD CRUSE BLC 2023;VINS DE PAYS BLANC;1758220.0;2074704.0;364.0;9.914;74;49.77;True
100047657;LITIERE CATSAN HYGIENE PLUS 10L;LITIERE CHATS;1718450.0;2027775.0;240.0;6.537;52;49.86;True
100666742;"TV LED 50"" 4K/NT/YTB*H50A6K HISENSE";TV ECRANS PLATS      3161;1702540.0;2009000.0;10.0;0.272;12;49.95;True
100006776;BEURRE DX PB 200G;BEURRE DOUX          0539;1699258.0;2005170.0;840.0;22.879;305;50.04;True
042001024;BEURRE DX 200 GRS ELVIR;BEURRE DOUX          0539;1680114.0;1982579.0;736.0;20.047;265;50.13;True
100669844;JUS OR BRK 1L REA;JUS DE FRUITS NECTARS;1673982.0;1975200.0;823.0;22.416;34;50.22;True
100538336;CAVE A VIN 105 BTLES JC201 CTL EDS;CAVE A VINS          0827;1663560.0;1963000.0;5.0;0.136;9;50.31;True
100135099;EAU MIN NAT PET 0,5L CELESTE;EAUX MINERALES PLATES IMP;1662679.0;1963800.0;13092.0;356.591;958;50.4;True
100594329;VIN MOUSS SYRAH BRUT RSE R.MAZET;MOUSSEUX FRANCAIS NATUREL;1660980.0;1959900.0;282.0;7.681;87;50.49;True
100023173;HUIL OLIV VGTLE 1L PLASTQ PRIMAV;Huile d'olive        1638;1657745.0;1956093.0;585.0;15.934;359;50.58;True
100338825;RIZ VIET PARF LG 22 5KG RIZIERE;RIZ LONG 0% BRISURE;1648250.0;1648250.0;113.0;3.078;103;50.67;True
100501891;PAIN CHOCO MARGA 70G C*180 P*64 COR;pains au chocolat;1629918.0;1925100.0;6417.0;174.782;2656;50.75;True
100010475;HUILE OLIVE 3 KG AL RABIH;Huile d'olive        1638;1608045.0;1897500.0;69.0;1.879;48;50.84;True
050051010;LESS PDRE SACHT EXT FRAICH 450G OMO;less pdre main;1603319.0;1891800.0;1935.0;52.704;505;50.93;True
100455086;RIZ VIET JASMIN 5KG DINOR (VERT);RIZ LONG 0% BRISURE;1597000.0;1597000.0;447.0;12.175;119;51.01;True
100177896;SAV LIQ EXTRA CITRON 4L ELITE;Nettoy multi usage liq;1583773.0;1868920.0;757.0;20.619;363;51.1;True
100108495;BOISS ENERG 4X250ML RED BULL;ENERGETIQUES(atlon...);1581294.0;1866150.0;429.0;11.685;185;51.18;True
100286482;WHISKY J WLKR DOUBLE BLACK 75CL;WHISKY BLENDED ECOSSAIS;1581043.0;1865600.0;53.0;1.444;45;51.27;True
100317385;RIZ VIET PARF 900G RIZIERE;RIZ LONG 0% BRISURE;1579000.0;1579000.0;2370.0;64.553;443;51.35;True
100045570;WHISKY JW GOLD RESER LABEL 15ANS;SCOTCH BLENDED =ET>12ANS;1577960.0;1862000.0;40.0;1.089;20;51.44;True
100065882;GIN BOMBAY SAPHIRE 47� 75CL;GINS (alcools etrangers);1574941.0;1858450.0;109.0;2.969;85;51.52;True
034347120;CDR GUIGAL 2020;COTE DU RHONE;1569353.0;1851836.0;159.0;4.331;96;51.6;True
D20232013;GENERIQUE FATAYER & KEBE PATISSERIE;GENERIQUE FATAYER & KEBE PATISSERIE;1560191.0;1842668.0;5938.0;161.735;1577;51.69;True
100621468;"TV LED 70"" 4K/UHD/SMRT/NTFLX/YTB HI";TV FORMATS SPECIAUX  3163;1542032.0;1819600.0;4.0;0.109;4;51.77;True
100170883;LAIT DE COCO TWIN ELEPHANTS;BOISS VEGT NATURE AVEC/SS;1534156.0;1810000.0;724.0;19.72;198;51.85;True
100378962;EAU MIN NAT PET 1L CELESTE;EAUX MINERALES PLATES IMP;1532584.0;1805400.0;8024.0;218.553;1243;51.93;True
100394994;SUCRE GRANULE SCHT ROUX 1KG SU;SUCRE SEMOULE ROUX;1527180.0;1802175.0;2194.0;59.759;363;52.02;True
100512861;EAU MIN.PET 1.5 PACK6 KIRENE;EAUX MINERALES PLATES IMP;1524045.0;1798800.0;1059.0;28.844;296;52.1;True
100634827;LAIT PDRE NIDO 800G FORTICROISSANCE;LAIT EN POUDRE ENTIER;1522770.0;1659750.0;226.0;6.156;193;52.18;True
045070105;LG SAL SUCRINE VRT 3FX12 AV;SAL CONDITIONEES;1509230.0;1509230.0;344.0;9.37;278;52.26;True
100571563;VDF LE SECRET D'ANA BLC MOEL;VIN DE TABLE BLANC I 3369;1483630.0;1750500.0;330.0;8.988;92;52.34;True
100133849;CHAMP TROUILLARD ELEXIUM 75CL;CHAMPAGNES BRUT;1474560.0;1740000.0;60.0;1.634;19;52.42;True
100543888;BIERE DESPERADOS BTLE 25CL VP;BIERE BLONDE IMPORT BLLE;1452988.0;1714800.0;3342.0;91.027;221;52.5;True
100665861;SUCRE GRANULE ROUX 435G;SUCRE SEMOULE ROUX;1450915.0;1712600.0;3912.0;106.553;645;52.58;True
100384863;HUIL VEGET 1 5L AYA;HUILES PALM VEGETALE;1431697.0;1689500.0;991.0;26.992;692;52.65;True
100195468;BROCOLI 450G PINGUIN;TOUS LEGUMES NATURES;1426056.0;1682719.0;983.0;26.774;190;52.73;True
100014047;OEUFS PLT DE 15 COQ 60G;OEUFS FRAIS LOCAUX;1424912.0;1424912.0;634.0;17.268;614;52.81;True
032020230;EAU MIN BTLE 6X20CL PERRIER;EAUX GAZ/PETIL;1378031.0;1626050.0;311.0;8.471;146;52.88;True
100152472;PDT ALM 7/7 2 5KG LT;FRITES SURGELEES;1362828.0;1608175.0;277.0;7.545;163;52.95;True
100044569;CUBE MAGGI 4G SACHET X100 NESTLE;BOUIL.AIDE CULINAIR  0631;1357741.0;1603000.0;1603.0;43.661;1012;53.02;True
D20232012;GENERIQUE CAFE PATISSERIE;GENERIQUE CAFE PATISSERIE;1352064.0;1595275.0;2059.0;56.082;1645;53.1;True
100121981;PDT FRITE 10/10 2 5 KG LT;FRITES SURGELEES;1346614.0;1589026.0;272.0;7.409;168;53.17;True
100505613;EAU MIN PETILL SAN.P BTL/VER 75CL;EAUX GAZ/PETIL;1340632.0;1582000.0;904.0;24.623;107;53.24;True
100013729;MARGARINE SAINT AVE 200 GRS;margarine;1338048.0;1579156.0;3663.0;99.77;804;53.31;True
D60125999999;JOUET          1599;JOUET          1599;1331792.0;1557230.0;275.0;7.49;208;53.38;True
011011201;PATES TAGLIAT CELLO 500G PANZANI;PATES;1316568.0;1553598.0;709.0;19.311;316;53.46;True
006006110;CHOC NR AMANDE BLOC 180G COTE D'OR;CHOCOLAT BLC+ INGREDIENTS;1301508.0;1535625.0;351.0;9.56;15;53.53;True
100048518;RHUM BLC GD FOND GALION 1L;RHUMS BLANCS;1299463.0;1533400.0;187.0;5.093;112;53.59;True
100342342;HUILE TOURNESOL 3L AROMATE;HUILE DE TOURNESOL;1298751.0;1532625.0;183.0;4.984;140;53.66;True
042001027;BEURRE DX PRESIDENT 200G;BEURRE DOUX          0539;1294106.0;1527060.0;524.0;14.272;368;53.73;True
100515586;EAU MIN 18L WATER BOMBONNE;EAUX MINERALES PLATES IMP;1288679.0;1520625.0;811.0;22.089;307;53.8;True
013013133;CUBE MAGGI POULET TABLET (60x10G);BOUIL.AIDE CULINAIR  0631;1288085.0;1520026.0;807.0;21.981;640;53.87;True
016016105;SEL T FIN SCHT 1KG;SEL FIN              2874;1275030.0;1505940.0;2510.0;68.366;994;53.94;True
100665144;DISTRIB. D'EAU COOLER 2 BEC HSM-5R;FOUR MICRO ONDES     1462;1274576.0;1504000.0;16.0;0.436;16;54.01;True
100589339;CAVE A VIN 24BTLS 9580 KENWOOD;CAVE A VINS          0827;1260171.0;1487000.0;8.0;0.218;8;54.08;True
005005110;THE JAUNE A100 LIPTON;THE NOIR SACHET;1258544.0;1485300.0;495.0;13.482;289;54.14;True
067067170;PAP TOIL X12 RLX LOTUS;papier toilette ouate;1250368.0;1475505.0;518.0;14.109;208;54.21;True
100562872;GAZIN 6FX 80X60 SIL COUV VITRE NASC;CUISINIERES 5 FEUX G 1148;1245167.0;1469300.0;7.0;0.191;7;54.28;True
100601771;BOISS GAZ WORLD COLA BTE 33CL SOLIB;ORANGE (fanta,,,);1237004.0;1459800.0;5490.0;149.533;337;54.34;True
009009102;LAIT PDR NIDO 400G NESTLE;LAIT EN POUDRE ENTIER;1233032.0;1344000.0;392.0;10.677;343;54.41;True
100323127;MOUTARDE DIJON 915G AMORA;MOUTARDE;1228733.0;1450500.0;1315.0;35.817;527;54.48;True
100226655;LESS PDRE 1KG  NIL;less pdre main;1226485.0;1447148.0;938.0;25.549;510;54.54;True
100664856;GAZIN 4FX 50X50 IX HCR1040EGSB HAIE;CUISINIERE 4 FEUX GAZ;1219320.0;1438800.0;12.0;0.327;12;54.61;True
014014981;CONC TOM 800G SOLEMIO/FANA;CONCENTREE DE TOMATE 1041;1214892.0;1433700.0;675.0;18.385;291;54.67;True
100665845;SUCRE GRANULE BLANC 435G;SUCRES SEMOULE BLANC;1207163.0;1424650.0;3279.0;89.311;285;54.74;True
100295642;HUIL TOURNESOL 0 9 L AROMATE;HUILE DE TOURNESOL;1195776.0;1411200.0;576.0;15.689;336;54.8;True
100226327;`NSECT BAYGON MULTI 300ML;insecticides anti volants;1191979.0;1191979.0;857.0;23.342;382;54.87;True
100591758;NESCAFE CLASSIC CHAIN 9x1.5G NESTLE;CAFE SOLUBLE INST LYOPHIL;1180344.0;1392750.0;177.0;4.821;124;54.93;True
100601778;BOISS GAZ YOUZOU BTE 33CL SOLIBRA;ORANGE (fanta,,,);1173434.0;1384800.0;5198.0;141.58;346;54.99;True
100177019;SAC POUB 100LX20 NOIR GAPPY;SAC POUBELLE         2762;1172955.0;1384066.0;713.0;19.42;381;55.05;True
047001105;MOUTARDE FALLOT SEAU BABY 450G;SAUCES               2791;1171329.0;1382140.0;204.0;5.556;141;55.12;True
100664008;SUCRE MORCEAU ROUX 1KG SODIMA;SUCRE MORCEAUX ROUX;1162084.0;1372000.0;1372.0;37.37;407;55.18;True
100480797;COF MET 1BT+1VE WHISKY JD 70CL;LIQUEUR DE WHISKY;1160704.0;1369600.0;64.0;1.743;44;55.24;True
014014973;CONC TOM BTE 1/2 SOLEMIO/FANA;CONCENTREE DE TOMATE 1041;1160501.0;1369495.0;1442.0;39.276;696;55.3;True
045073401;LG PDT FILET 5KGS BAT;LG PDT;1160410.0;1160410.0;349.0;9.506;287;55.37;True
100601195;SAV N�4 BAR 260G BF;sav menage /lessive;1156601.0;1364850.0;2660.0;72.451;477;55.43;True
032020101;EAU MIN NAT PET 0,5L AWA;EAUX MINERALES PLATES IMP;1149599.0;1356600.0;9740.0;265.292;507;55.49;True
021021421;TOM PELEE 3 KG SOLEMIO;TOMATES ENTIERES;1126636.0;1329384.0;301.0;8.198;118;55.55;True
100044335;JAVEL SUPER CLEAN 12  4L;eau de javel;1123254.0;1325225.0;671.0;18.276;457;55.61;True
100426711;LESS PDRE MACH AUTOMAT 2 970KG NIL;less pdre machine;1121711.0;1323589.0;151.0;4.113;129;55.67;True
100313652;ARAK BRUN 53% 70CL;APERITIF ANISES AV.ALCOOL;1107414.0;1306800.0;99.0;2.696;41;55.73;True
100094654;CHAMP LP 1/2SEC;CHAMPAGNES DEMI-SEC;1094312.0;1291300.0;37.0;1.008;25;55.79;True
100460449;DLV EPICERIE 1000;GENERIQUE EPICERIE   1576;1088395.0;1285000.0;1285.0;35.0;685;55.85;True
100675551;REFROID VRT 280L 1BAT NR/VITR NASCO;FRIGO COMBINE;1083475.0;1278500.0;5.0;0.136;9;55.91;True
100222467;HUILE TOURNESOL PET BTLE 1L BORGES;HUILE DE TOURNESOL;1079520.0;1274000.0;520.0;14.163;270;55.96;True
100640077;NECT PASS 100% 1L PRESSEA;JUS DE FRUITS NECTARS;1070571.0;1263450.0;773.0;21.054;267;56.02;True
100506054;NESCAFE 3EN1 BREAKFAST 32G NESCA;CACAO INSTANTANES MIX;1069213.0;1262850.0;8419.0;229.311;1742;56.08;True
100675137;"TV 50"" SMRT/UHD/3HDMI/2USB  SSG";TV ECRANS PLATS      3161;1057288.0;1247600.0;4.0;0.109;4;56.14;True
100605408;FRIGO 1P 45L CREME APGL-FRG45 CLEEK;FRIGO 1 PORTE;1052550.0;1242000.0;18.0;0.49;17;56.19;True
042001162;CREME UHT 1L CANDIA;CREME FRAICHE UHT;1043073.0;1230818.0;249.0;6.782;103;56.25;True
037082004;RHUM ST JAMES RGE 1L;RHUMS BRUNS ET AMBRES;1042384.0;1230000.0;164.0;4.467;123;56.3;True
100675133;"TV 43"" VSMRT/NTF/YTB/1VIDEO HISENSE";TV ECRANS PLATS      3161;1039068.0;1226100.0;9.0;0.245;11;56.36;True
100024451;KIRI 12P BEL;FROMAGES FONDUS,PORTIONS;1028780.0;1214011.0;502.0;13.673;394;56.41;True
100484629;LAIT PDRE ENTIER 360G SCHT BNET RGE;LAIT EN POUDRE ENTIER;1027600.0;1120000.0;560.0;15.253;279;56.47;True
